Year,Category,Age Groups,N.L.,P.E.I.,N.S.,N.B. ,Que.,Ont.,Man. ,Sask.,Alta.  ,B.C. ,Y.T.,N.W.T.,Nun.,Canada,start_age,end_age
1974,Appendix: C.3: Total programs by fiscal year,All,710.20012,153.79993269999997,830.1999369,790.3999262,7358.90034,8978.995993999999,1073.70006,1020.399866,2311.70049,2865.998929,53.59999613,133.0000297,,26280.89562,0,150
1974,Appendix: C.4: Expenditures by fiscal year,All,795.5001231000001,165.399933,911.7999278,843.2999277999999,7723.200206999999,9896.095726,1153.800051,1071.599856,2427.000493,2913.398931,56.29999546,139.00003069999997,,28096.3952,0,150
1974,Appendix: D.2: Population by fiscal year,All,551.508,116.401,821.2510000000002,669.5060000000002,6286.708000000001,8240.114,1018.954,908.714,1769.88,2461.396,21.335,41.62300000000001,,22907.39,0,150
1974,Appendix: A.2: Gross domestic product by fiscal year,All,,,,,,,,,,,,,,158678.0,0,150
1975,B.4.5: Percentage by year,All,21.14020759,21.29161855,25.03390552,20.85599197,28.03082703,27.83252573,27.94712343,24.08472343,23.96539314,26.01846662,9.549712392,9.936147521,,26.55943545,0,150
1975,B.3.4: Expenditure by year,All,559.1490537000002,140.5144148,851.3520120999998,619.9958361,8386.783441,10606.73381,1321.639635,1156.74698,2467.164373,3489.465065,35.85339523,90.86993505,,29726.26795,0,150
1975,B.5.3: Percentage by year,All,2.252518587,2.829547391,9.015583321,4.007406937,3.906972974,4.18327764,8.7256586,6.000130714,6.3344754760000015,4.795122611,39.13720957,31.76820386,,4.844245118,0,150
1975,B.7.5: Expenditure by year,All,0.298778737,0.165846206,22.69262344,0.046896116,2.458467091,9.254721179,34.25284461,22.75098398,17.12833723,12.66720876,4.883037772,3.937119725,,9.956785593,0,150
1975,Appendix: A.2: Gross domestic product by fiscal year,All,,,,,,,,,,,,,,180493.75,0,150
1975,B.7.2: Expenditure by year,All,0.10961602,0.050967101,8.032756416,0.016248082,0.780689205,2.9042189960000004,10.99838141,6.462636579,5.260848726,3.610222402,1.688880774,1.143550608,,3.095894205,0,150
